Date, Open, High, Low, Close, MA5, MA8, MA13,Buy,Profit,Sell
01/29/24,1.3462,1.3467,1.341,1.3415,1.3479800000000002,1.3477875,1.3456230769230768,Closed,-0.007400000000000073,Closed
01/31/24,1.3398,1.3447,1.3358,1.3436,1.3454599999999999,1.3455375,1.3459076923076922,Closed,0.0036999999999998145,Open
02/02/24,1.3389,1.3478,1.3365,1.3461,1.3419200000000002,1.344475,1.3458153846153846,Closed,-0.0025000000000001688,Closed
02/06/24,1.3539,1.355,1.3477,1.3495,1.34448,1.344675,1.3458230769230768,Closed,0.0045000000000001705,Closed
02/15/24,1.3546,1.3554,1.3463,1.3464,1.34958,1.3497249999999998,1.3467461538461538,Closed,0.0013000000000000789,Closed
02/22/24,1.3507,1.351,1.344,1.3483,1.3494199999999998,1.3504125,1.3496076923076923,Closed,-0.0005999999999999339,Closed
03/06/24,1.3592,1.3601,1.3498,1.3515,1.35776,1.3555000000000001,1.3533076923076923,Closed,0.0008999999999999009,Closed
03/08/24,1.3469,1.3499,1.342,1.3486,1.35414,1.3549250000000002,1.353269230769231,Closed,0.0025999999999999357,Closed
03/14/24,1.3469,1.3542,1.346,1.3535,1.3479,1.350975,1.3525769230769231,Closed,-0.006299999999999972,Closed
03/18/24,1.353,1.3554,1.352,1.3534,1.3505800000000001,1.349875,1.3529076923076924,Closed,0.001100000000000101,Closed
03/29/24,1.3541,1.3562,1.3531,1.3539,1.35762,1.3559125,1.3542461538461539,Closed,-0.006399999999999961,Closed
04/03/24,1.3566,1.3591,1.3512,1.3527,1.3557200000000003,1.3570000000000002,1.3556230769230768,Closed,-0.0045999999999999375,Closed
04/08/24,1.3592,1.3619,1.357,1.3574,1.35606,1.3556124999999999,1.3557615384615385,Closed,0.0019000000000000128,Closed
04/23/24,1.37,1.3717,1.3657,1.3662,1.3764,1.3759125,1.3695384615384614,Closed,-0.0026999999999999247,Closed
04/30/24,1.3665,1.3786,1.3658,1.378,1.3671,1.3696375,1.372523076923077,Closed,-0.01179999999999981,Closed
05/07/24,1.3667,1.3743,1.3659,1.3728,1.3709399999999998,1.3692250000000001,1.3701384615384613,Closed,0.0012000000000000899,Closed
05/21/24,1.3625,1.3677,1.3615,1.3655,1.36226,1.3641625,1.3662307692307694,Closed,-0.00529999999999986,Closed
05/23/24,1.3696,1.3744,1.3657,1.3729,1.36416,1.3641375,1.3661461538461537,Closed,-0.0034000000000000696,Closed
05/31/24,1.3682,1.3692,1.3619,1.3631,1.3671200000000001,1.3679375,1.3657538461538459,Closed,-0.0015000000000000568,Closed
06/07/24,1.367,1.3769,1.3663,1.3768,1.3660399999999997,1.3668125,1.3672076923076923,Closed,-0.009700000000000042,Closed
06/19/24,1.372,1.3728,1.3698,1.3707,1.37294,1.3741750000000001,1.3710461538461538,Closed,-0.00529999999999986,Closed
06/26/24,1.3659,1.3709,1.3651,1.3703,1.36822,1.3698875,1.3718846153846156,Closed,-0.0044000000000001815,Closed
07/01/24,1.3679,1.3751,1.3663,1.3738,1.3680400000000001,1.3686875,1.370323076923077,Closed,-0.0036999999999998145,Closed
07/11/24,1.362,1.365,1.359,1.3634,1.3629799999999999,1.3650875,1.3662230769230772,Closed,0.000700000000000145,Closed
07/15/24,1.3647,1.3691,1.3631,1.3682,1.36336,1.3632749999999998,1.365876923076923,Closed,-0.0043000000000001926,Closed
08/06/24,1.3824,1.3857,1.3757,1.3785,1.3846399999999999,1.3843874999999999,1.3810384615384617,Closed,0.005800000000000027,Closed
08/15/24,1.372,1.374,1.3696,1.3734,1.37266,1.37505,1.3789615384615386,Closed,-0.00029999999999996696,Closed
08/30/24,1.3489,1.3511,1.3465,1.3495,1.34816,1.3529875,1.3592923076923076,Closed,0.018399999999999972,Closed
09/03/24,1.3495,1.3564,1.3493,1.3552,1.3479800000000002,1.3502,1.3559692307692306,Closed,-0.005600000000000049,Closed
09/19/24,1.3612,1.365,1.3534,1.356,1.35914,1.3587875,1.3564230769230774,Closed,-0.004999999999999893,Closed
09/24/24,1.354,1.3545,1.3431,1.3432,1.3576,1.357925,1.3573615384615385,Closed,-0.010900000000000132,Closed
09/27/24,1.3473,1.3529,1.3464,1.3518,1.3499599999999998,1.3532625,1.3554076923076923,Closed,-0.0033999999999998476,Closed
10/01/24,1.3529,1.3541,1.3481,1.3494,1.3485,1.351275,1.3542999999999998,Closed,0.0032000000000000917,Closed
10/03/24,1.3502,1.3561,1.3497,1.3556,1.35012,1.3495375,1.3530000000000002,Closed,-0.00529999999999986,Closed
11/05/24,1.3897,1.391,1.3823,1.3826,1.39234,1.3907,1.387253846153846,Closed,0.017800000000000038,Closed
11/07/24,1.394,1.395,1.3842,1.3863,1.3913,1.3909125,1.3885384615384617,Closed,-0.007799999999999807,Closed
