Date, Open, High, Low, Close
01/01/25, 1.4387, 1.4407, 1.4381, 1.4392
12/31/24, 1.4359, 1.4412, 1.4339, 1.4385
12/30/24, 1.4421, 1.4432, 1.4345, 1.4357
12/27/24, 1.4407, 1.4450, 1.4376, 1.4413
12/26/24, 1.4379, 1.4423, 1.4349, 1.4408
12/25/24, 1.4358, 1.4431, 1.4327, 1.4391
12/24/24, 1.4364, 1.4422, 1.4348, 1.4359
12/23/24, 1.4325, 1.4436, 1.4325, 1.4372
12/20/24, 1.4401, 1.4438, 1.4336, 1.4378
12/19/24, 1.4447, 1.4467, 1.4345, 1.4399
12/18/24, 1.4313, 1.4451, 1.4304, 1.4449
12/17/24, 1.4244, 1.4326, 1.4231, 1.4311
12/16/24, 1.4240, 1.4272, 1.4218, 1.4242
12/13/24, 1.4222, 1.4247, 1.4204, 1.4236
12/12/24, 1.4159, 1.4230, 1.4131, 1.4220
12/11/24, 1.4183, 1.4196, 1.4120, 1.4161
12/10/24, 1.4171, 1.4197, 1.4156, 1.4181
12/09/24, 1.4162, 1.4177, 1.4095, 1.4172
12/06/24, 1.4024, 1.4166, 1.4018, 1.4159
12/05/24, 1.4077, 1.4083, 1.4010, 1.4025
12/04/24, 1.4068, 1.4084, 1.4053, 1.4074
12/03/24, 1.4046, 1.4079, 1.4010, 1.4071
12/02/24, 1.4019, 1.4092, 1.3988, 1.4048
11/29/24, 1.4019, 1.4047, 1.3981, 1.4027
11/28/24, 1.4029, 1.4043, 1.3999, 1.4016
11/27/24, 1.4062, 1.4081, 1.4009, 1.4030
11/26/24, 1.3985, 1.4181, 1.3982, 1.4056
11/25/24, 1.3982, 1.4009, 1.3927, 1.3986
11/22/24, 1.3970, 1.4021, 1.3944, 1.3961
11/21/24, 1.3977, 1.3981, 1.3932, 1.3975
11/20/24, 1.3958, 1.4017, 1.3950, 1.3976
11/19/24, 1.4014, 1.4039, 1.3956, 1.3957
11/18/24, 1.4103, 1.4105, 1.4004, 1.4016
11/15/24, 1.4061, 1.4107, 1.4034, 1.4090
11/14/24, 1.3998, 1.4067, 1.3987, 1.4062
11/13/24, 1.3944, 1.4006, 1.3933, 1.4002
11/12/24, 1.3925, 1.3969, 1.3918, 1.3945
11/11/24, 1.3919, 1.3954, 1.3898, 1.3924
11/08/24, 1.3861, 1.3929, 1.3848, 1.3915
11/07/24, 1.3940, 1.3950, 1.3842, 1.3863
11/06/24, 1.3825, 1.3961, 1.3822, 1.3941
11/05/24, 1.3897, 1.3910, 1.3823, 1.3826
11/04/24, 1.3967, 1.3967, 1.3875, 1.3902
11/01/24, 1.3934, 1.3991, 1.3902, 1.3961
10/31/24, 1.3905, 1.3947, 1.3892, 1.3935
10/30/24, 1.3916, 1.3942, 1.3895, 1.3904
10/29/24, 1.3894, 1.3932, 1.3877, 1.3915
10/28/24, 1.3895, 1.3909, 1.3882, 1.3889
10/25/24, 1.3857, 1.3900, 1.3839, 1.3894
10/24/24, 1.3837, 1.3870, 1.3813, 1.3856
10/23/24, 1.3818, 1.3865, 1.3816, 1.3838
10/22/24, 1.3841, 1.3841, 1.3814, 1.3819
10/21/24, 1.3815, 1.3852, 1.3800, 1.3830
10/18/24, 1.3796, 1.3818, 1.3785, 1.3802
10/17/24, 1.3751, 1.3803, 1.3747, 1.3798
10/16/24, 1.3775, 1.3796, 1.3749, 1.3753
10/15/24, 1.3798, 1.3841, 1.3771, 1.3776
10/14/24, 1.3773, 1.3807, 1.3758, 1.3797
10/11/24, 1.3740, 1.3785, 1.3725, 1.3763
10/10/24, 1.3711, 1.3777, 1.3696, 1.3741
10/09/24, 1.3647, 1.3720, 1.3642, 1.3713
10/08/24, 1.3619, 1.3678, 1.3612, 1.3648
10/07/24, 1.3581, 1.3640, 1.3567, 1.3620
10/04/24, 1.3555, 1.3592, 1.3543, 1.3576
10/03/24, 1.3502, 1.3561, 1.3497, 1.3556
10/02/24, 1.3490, 1.3512, 1.3474, 1.3503
10/01/24, 1.3529, 1.3541, 1.3481, 1.3494
09/30/24, 1.3524, 1.3539, 1.3490, 1.3526
09/27/24, 1.3473, 1.3529, 1.3464, 1.3518
09/26/24, 1.3483, 1.3503, 1.3458, 1.3465
09/25/24, 1.3434, 1.3492, 1.3419, 1.3484
09/24/24, 1.3540, 1.3545, 1.3431, 1.3432
09/23/24, 1.3584, 1.3584, 1.3487, 1.3541
09/20/24, 1.3558, 1.3600, 1.3522, 1.3576
09/19/24, 1.3612, 1.3650, 1.3534, 1.3560
09/18/24, 1.3600, 1.3624, 1.3541, 1.3605
09/17/24, 1.3586, 1.3619, 1.3580, 1.3598
09/16/24, 1.3599, 1.3610, 1.3566, 1.3588
09/13/24, 1.3580, 1.3601, 1.3565, 1.3587
09/12/24, 1.3577, 1.3606, 1.3564, 1.3579
09/11/24, 1.3613, 1.3625, 1.3566, 1.3578
09/10/24, 1.3560, 1.3618, 1.3556, 1.3610
09/09/24, 1.3581, 1.3581, 1.3546, 1.3558
09/06/24, 1.3505, 1.3583, 1.3467, 1.3575
09/05/24, 1.3504, 1.3527, 1.3501, 1.3502
09/04/24, 1.3553, 1.3567, 1.3500, 1.3507
09/03/24, 1.3495, 1.3564, 1.3493, 1.3552
09/02/24, 1.3498, 1.3506, 1.3478, 1.3496
08/30/24, 1.3489, 1.3511, 1.3465, 1.3495
08/29/24, 1.3481, 1.3493, 1.3450, 1.3485
08/28/24, 1.3444, 1.3490, 1.3441, 1.3480
08/27/24, 1.3489, 1.3505, 1.3442, 1.3443
08/26/24, 1.3527, 1.3527, 1.3463, 1.3486
08/23/24, 1.3616, 1.3619, 1.3498, 1.3514
08/22/24, 1.3596, 1.3621, 1.3573, 1.3617
08/21/24, 1.3621, 1.3679, 1.3577, 1.3594
